"","time","rating"
"1",1945,NA
"2",1945.25,87
"3",1945.5,82
"4",1945.75,75
"5",1946,63
"6",1946.25,14
"7",1946.5,13
"8",1946.75,11
"9",1947,5
"10",1947.25,6
"11",1947.5,5
"12",1947.75,9
"13",1948,8
"14",1948.25,3
"15",1948.5,NA
"16",1948.75,NA
"17",1949,6
"18",1949.25,7
"19",1949.5,7
"20",1949.75,5
"21",1950,4
"22",1950.25,3
"23",1950.5,4
"24",1950.75,3
"25",1951,10
"26",1951.25,13
"27",1951.5,11
"28",1951.75,15
"29",1952,15
"30",1952.25,3
"31",1952.5,NA
"32",1952.75,3
"33",1953,5
"34",1953.25,7
"35",1953.5,7
"36",1953.75,6
"37",1954,7
"38",1954.25,6
"39",1954.5,1
"40",1954.75,7
"41",1955,1
"42",1955.25,8
"43",1955.5,9
"44",1955.75,7
"45",1956,7
"46",1956.25,7
"47",1956.5,7
"48",1956.75,75
"49",1957,9
"50",1957.25,15
"51",1957.5,3
"52",1957.75,7
"53",1958,6
"54",1958.25,9
"55",1958.5,8
"56",1958.75,5
"57",1959,7
"58",1959.25,2
"59",1959.5,11
"60",1959.75,96
"61",1960,7
"62",1960.25,2
"63",1960.5,1
"64",1960.75,7
"65",1961,2
"66",1961.25,13
"67",1961.5,11
"68",1961.75,7
"69",1962,9
"70",1962.25,1
